listing_id,id,date,reviewer_id,reviewer_name,comments
9835,279854,5/24/11,560832,Miriam,"Very hospitable, much appreciated.
"
9835,3640746,2/26/13,5143343,Michelle,"A beautiful house in a lovely quiet neighbourhood, which was only a 5 minute walk to our seminar venue at the Manningham Hotel.Nice parks around for a quick morning walk, buses & shops only a block away. Rate very reasonable too. Manju is a lovely lady who made me feel most welcome & comfortable. Will definitely stay again!
I also recommend Doncaster Shopping Town - WOW."
9835,23731188,12/8/14,2478713,Karyn,"This was my first time using airbnb and it was great. I was going to a party in an area that didn't have much accommodation around and which was booked being Xmas anyway (and I would have needed to get a cab too) - so it was great to find a room within walking distance.

Manju the host was lovely and the room was as described. A very pleasant and easy experience as a whole."
9835,46588875,9/12/15,26184717,Rosalind,I was visiting Melbourne to spend time with my son and daughter-in-law and their new baby but I needed accommodation. I was very pleased to find Manju’s house only 20 minutes walk away. Manju was a kind host and her lovely house is spacious and the bed very comfortable. Being able to watch tv upstairs was a bonus too. The house is in a pleasant neighbourhood and only a short walk to the bus stop. The bus takes a fast route into the city on the freeway which was a nice surprise.
10803,3333588,1/12/13,4421189,Johannes,"It was very convenient  to stay in Lindsay's appartment in Brunswick for a couple of weeks, not only is Lindsay a great host giving you valuable tips the appartment also is in a very interesting part of Melbourne and the CBD is not far away. Highly recommended!"
10803,3369053,1/18/13,1763045,Julie,"Perfect isnt enough! Lindsay was the best host we could ever imagine help us a lot to handle our new start in australia. His place have a perfect location few second to the tram and 10 minute to cbd , close to a lot of restaurant and 2 park. The room is pretty big and really sunny , we very felt like home during the two time we were there. Thanks again lindsay wish you all the best.
julie and pierre"
10803,3403930,1/23/13,4423532,Ivonne,Living with Lindsay was very relaxed. The room is choosen in fantastic colours and the colours of the sheets fits very cool together with it too. Lindsay is a very helpfull person and he helped me a lot organisating my journey! 
10803,3514479,2/11/13,4551787,Jess,"Beautiful home, great location very friendly and helpful throughout my stay!"
10803,3662039,3/1/13,632036,Yvonne And Pip,"It was great staying at Lindsay's apartment. He's friendly and fun to hang out with over a bevie! The location could not have been betters itch the tram at the door step and CERES just around the corner. 

Thank you Lindsay for providing a great spacewith such positive vibe!!!"
10803,3908291,3/26/13,2553303,Thomas,"Lindsay was an excellent host, his apartment is in a great location, only a few metres from the end of the Tram 96 stop. Room was spacious enough, my sleep wasn't disturbed by the passing traffic although I would advise very light sleepers to bring earplugs because of the non-stop beeping from the pedestrian crossing button. I enjoyed my time here."
10803,4046614,4/5/13,5610658,Meredith,"Lovely room and home, and very gracious hosts. Lots of character, and I was made to feel right at home. Very close to tram stop and local cafe's, and walking distance from many restaurants. I would highly recommend staying with Lindsay!"
10803,4919670,6/2/13,1836341,Mel,"A great room in a great location!  The room is very large with a tram stop right across the road.  It's also all within walking distance to yummy cafes, CERES and Sydney Road, Brunswick and only a few tram stops way from other cool areas like Fitzroy and Collingwood.  Lindsay was a very helpful and relaxed host who made my 3 week stay very easy and enjoyable.  Highly recommended! "
10803,4977835,6/4/13,5630666,Amelia,The reservation was canceled 2 days before arrival. This is an automated posting.
10803,5232675,6/19/13,6553329,Hui Xin,Lindsay is a really kind and accommodating host! His place has really interesting decor too! He tried his best to tidy up his place fr us. The double room is spacious and warm with a really comfortable bed and clean toilet outside:) it's about 15min to town. 
10803,5388372,6/27/13,6578448,Salomé,"Very  spacious, comfy and quiet room,
& lovely host.
Super convenient to get in town with the tram at the door.
Great !"
10803,6239620,8/5/13,6589030,Manuel,The reservation was canceled 28 days before arrival. This is an automated posting.
10803,9208537,12/13/13,8378014,Mark,"Lindsay has a great living space over his yoga studio. The room is large and so is the bed. Very comfortable. It's at the end of the 96 tram line in Brunswick so easy access to the city and there are a few restaurants on his block so it's quite ideal. Lindsay is an unflappable sort of guy, easy to talk to, and I had a pleasant lunch with him the day I arrived. Strongly recommended. "
10803,9779148,1/9/14,10719843,Joe,"I had a wonderful stay. Lindsay is very friendly, flexible and will get out of her way to help you whenever you need. Thank you for your hosting. "
10803,9903019,1/18/14,10941298,Lea,I really enjoyed my stay at Lindsay's apartment and I would like to be able to write a better English to explain how Lindsay was very hepful for everything. When I arrived in Melbourne my English was bad and I think that I was lucky to start my journey in Australia with a friendly host and in the best suburb of Melbourne. (Plus the apartment is very close to the tram.)
10803,10193644,2/5/14,10174200,Ljubek,Lindsay is relaxed and easy to get along with a pleasure to have a conversation with and in a convenient location.  I recommend staying here. Thanks again for hosting me.
10803,10535990,2/24/14,11360615,Julie,"Lindsay is a very nice host: respectful and helpful.
The room is vaste with a king size bed : very pleasant!
The location at the end of the 96 tram line is perfect to go directly to the CBD (15 min) and to St Kilda Beach (45 min).
Highly recommended! Thank you Lindsay."
10803,10669420,3/2/14,12407146,Djoni,"Staying for 4 days in Lindsay's house was an amazing experience. His earthy artistic beautiful house successfully brought us into a super-relaxing ambience that really helps my trouble-sleeping gone :)
Thank you Lindsay for having us.
John & Beth"
10803,15624617,7/13/14,13599943,David,Lindsay was great. Really a sweet and extremely kind guy. I really enjoyed the month that I spent there. Great location (extremely convenient with the tram line).Was a great Melbourne experience.
10803,16143988,7/22/14,2350539,Catherine,"Lindsay's home is easily accessible by public transport, close to everything. 
Very cool collector's items to look at, it's like stepping into a funky retro shop! 
I didn't spend much time at the house, as I was at a course. 
All in all, a good experience, thanks Lindsay!"
10803,16922336,8/4/14,17961657,Lidón,"The location is very good and there are nice places really close where you can drink a coffee or dinner and lunch. Also, the tram 96 is just one minute from the house which is really convenient to go to the city or St Kilda. 
The room and the bed are very big but the kitchen was so dirty."
10803,17394586,8/11/14,15035042,Jennifer,"Lindsay is a gentle soul and I felt very safe being in his home.
He was thoughtful and had the lamp and heater on for when I arrived which I really appreciated.
The location is perfect with the tram just outside the door.
The room was surprisingly quiet given the location and even the hotel directly opposite stopped their music just after midnight on Saturday so it wasn't a bother.
The room is spacious.
It is an old inner suburb property with the inherent narrow steps and old plumbing.  The kitchen, lounge and bathroom did not seem to have much spare space, but if you are not planning on sitting around inside all day it was a bed at a great price.

I found the bathroom probably needed some handiman love but I know landlords are not always as interested in tiles missing and broken taps as we are."
10803,17708099,8/16/14,2838033,Jennifer,"Conveniently located near the tram stop. 
Comfortable room. 
Relaxed and friendly host who has an amazing aesthetic and interesting collectibles. "
10803,18042070,8/20/14,19715778,Luise,"Lindsay was a fantastic host. 
The room was very clean and cute. Right next to the 96 tram and plenty of cafes. We felt very welcome from the start and were given a lot of privacy. The house was very retro and cute, highly recommend it."
10803,19417039,9/12/14,3242826,Katie,All good. I loved looking at all your stuff and perusing your books.  
10803,19539476,9/14/14,3242826,Katie,"Even though Lindsay  wasn't there when I arrived, he left a key and a note and everything was great.
Such a convenient place for the tram to get to the city.
"
10803,20247509,9/26/14,467452,Jacques,"Great place, cool vibe, Lindsay's very easy-going and the room is comfortable. The bed is enormous. I would recommend. "
10803,21210727,10/13/14,9607407,Christian,Conveniently located right next to the tram. A bar and cafes nearby. The room itself is quite nice with a big (relatively hard) bed. Didn't spend much time in the rest of the apartment.
10803,21492153,10/18/14,19926893,Arijit,Good host. Very approachable. Nice room. Large comfy bed. 
10803,21664611,10/21/14,1615354,Beau,"Lindsay was easy going and but also helped me out with whatever i needed. Very flex check in/out. Ace room firm bed,  lots of hot water, privacy. Was out alot and no probs with coming and going whenever.  city farm cafe round corner, 3 cafes down stairs, tram outside flat & runs right through the city to st kilda. ta very much!  "
10803,22596068,11/10/14,22203261,Mai Stahl,"I have had the best time in Melbourne and was so pleased to stay at Lindsey's place. He is very friendly and helpful, and the apartment has an amazing atmosphere. I took advantage of the yoga studio downstairs, which I can highly recommend.
The location is perfect, close to the tram and with lovely cafés nearby.   "
10803,23290423,11/28/14,9928374,Marina,"I think I could not add more to any previous reviews - the room is cozy, the bed is huge and comfortable, there are nice little cafes around and the tram is just few steps away. Good stay."
10803,23535741,12/3/14,11929216,Callum,"Lindsay is a really lovely guy who definitely goes the extra mile e.g. installing the air con in the room just for me when it was starting to get pretty hot! As the other reviews suggest you can't go wrong here - comfortable, big room, private, excellently located. I didn't find street noise a problem at all. Thanks Lindsay!"
10803,23901968,12/14/14,10479127,Mary,"Lindsay let out a string of mandarin sentences the minute I stepped in and faced him. That was really cool and impressive! We hit it off on a good note. He also re-read my profile to find out my interests and gave me tips on where to go to get the better art and music exposure in Melbourne. It really helped that he lives so near to all these wonderful places. I loved the room and apartment; it was all eclectic and vibrant. When I arrived, he had already provided me with guidebooks to interesting places in Melbourne. Very helpful! He provided me with two towels (That was really important) and gifted me a newsletter of comics, which was really kind and sensitive of him as he seemed attuned to my interests. Lindsay's location, I would say, was the best. It was easy traveling from home to all the difference places in Brunswick, Fitzroy, city, St Kilda and to the airport!!! Lastly, the icing on the cake was when I was allowed to have a look at his working studio. My stay in Melbourne was great, no less. 

I look forward to staying with him again if I visit Melbourne again! And if Lindsay ever comes to Singapore, I'd be glad to show him around :) Thank you, Lindsay!"
10803,25492396,1/18/15,18889850,Jessie,"I stayed at the Cool Deco Apartment as a transition from moving to Oz from the US.  Lindsay was the absolute best host for this!  He gave me great advice and helped me find my way around.  The apartment was in a great location, literally the tram into the CBD(20min) and St. Kilda Beach (45min) was less than a minute walk from the doorstep.  For any yoga or capoeira enthusiasts, there was a lovely studio downstairs and outside there were two cafes, a bottle shop and a milk bar (small market).  It was an overall great experience - Thank you Lindsay!"
